"group_uid","player.treatment","subsession.round_number","manager","player.price"
"bothno_1__g3","M_no_W_no",3,"no",149
"bothno_1__g4","M_no_W_no",3,"no",100
"bothno_1__g5","M_no_W_no",3,"no",150
"botno_2__g1","M_no_W_no",3,"no",80
"botno_2__g2","M_no_W_no",3,"no",80
"botno_2__g3","M_no_W_no",3,"no",120
"botno_2__g4","M_no_W_no",3,"no",200
"botno_2__g5","M_no_W_no",3,"no",200
"MnoWe_1__g1","M_no_W_exp",3,"no",150
"MnoWe_1__g2","M_no_W_exp",3,"no",65
"MnoWe_1__g3","M_no_W_exp",3,"no",90
"MnoWe_1__g4","M_no_W_exp",3,"no",90
"MnoWe_1__g5","M_no_W_exp",3,"no",100
"MnoWe_2__g1","M_no_W_exp",3,"no",102
"MnoWe_2__g2","M_no_W_exp",3,"no",200
"MnoWe_2__g3","M_no_W_exp",3,"no",100
"MnoWe_2__g4","M_no_W_exp",3,"no",99
"MnoWe_2__g5","M_no_W_exp",3,"no",246
"MeWno_1__g1","M_exp_W_no",3,"no",98
"MeWno_1__g2","M_exp_W_no",3,"no",150
"MeWno_1__g3","M_exp_W_no",3,"no",170
